province,province_name,model,test_norm_mae,test_norm_rmse,test_norm_r2,val_norm_mae,best_epoch,final_gap,mamba_mae,mamba_rmse,mamba_r2,delta_mae_vs_mamba,delta_rmse_vs_mamba,delta_r2_vs_mamba,start,end,n_hours,coverage_ratio,max_gap_h,aqi_mean,aqi_std,aqi_cv,aqi_iqr,aqi_skew,aqi_kurtosis,diff_abs_mean,diff_abs_p90,diff_abs_p95,spike_rate,spike_threshold,direction_change_rate,autocorr_1h,autocorr_12h,autocorr_24h,autocorr_168h,hist_entropy
an_giang,An Giang,lstm,0.19288957118988037,0.2917143351338794,0.8176007270812988,0.1635618954896927,19,0.035520324643781076,0.14336682856082916,0.23322661711227968,0.883409321308136,0.04952274262905121,0.058487718021599716,-0.06580859422683716,2026-03-03 10:00:00,2026-06-16 23:00:00,2534,1.0,1.0,92.55288082083662,22.27260327576975,0.2406473259204642,23.0,0.6804697561160751,0.8077105135918003,1.2427951046190289,3.0,4.0,0.020520915548539857,10.0,0.15187239944521497,0.9923243887873704,0.7589758469742727,0.5380345332852134,0.012957414746004401,3.0481564950828783
an_giang,An Giang,mamba,0.14336682856082916,0.23322661711227968,0.883409321308136,0.1301642805337906,28,0.018576524388059845,0.14336682856082916,0.23322661711227968,0.883409321308136,0.0,0.0,0.0,2026-03-03 10:00:00,2026-06-16 23:00:00,2534,1.0,1.0,92.55288082083662,22.27260327576975,0.2406473259204642,23.0,0.6804697561160751,0.8077105135918003,1.2427951046190289,3.0,4.0,0.020520915548539857,10.0,0.15187239944521497,0.9923243887873704,0.7589758469742727,0.5380345332852134,0.012957414746004401,3.0481564950828783
an_giang,An Giang,transformer,0.1787777990102768,0.2840416563211351,0.8270695209503174,0.14700455963611603,58,0.01498549599879961,0.14336682856082916,0.23322661711227968,0.883409321308136,0.03541097044944763,0.05081503920885541,-0.056339800357818604,2026-03-03 10:00:00,2026-06-16 23:00:00,2534,1.0,1.0,92.55288082083662,22.27260327576975,0.2406473259204642,23.0,0.6804697561160751,0.8077105135918003,1.2427951046190289,3.0,4.0,0.020520915548539857,10.0,0.15187239944521497,0.9923243887873704,0.7589758469742727,0.5380345332852134,0.012957414746004401,3.0481564950828783
bac_ninh,Bắc Ninh,lstm,0.2778967320919037,0.4261667798486847,0.8351529836654663,0.15119948983192444,7,0.03108352245017,0.293341726064682,0.4562125249391327,0.8110893964767456,-0.01544499397277832,-0.03004574509044805,0.024063587188720703,2026-03-03 10:00:00,2026-06-16 23:00:00,2534,1.0,1.0,128.58168903522446,37.2075016519682,0.28936858685823724,57.75,0.5301956025859509,-0.10701691041671113,3.5866561329416546,11.0,19.0,0.10378847671665352,11.0,0.11995696611081226,0.9797938805879502,0.5849263508143228,0.6370909759067767,0.30316608191335104,2.956622625654561
bac_ninh,Bắc Ninh,mamba,0.293341726064682,0.4562125249391327,0.8110893964767456,0.14516428112983704,32,0.02658006290976818,0.293341726064682,0.4562125249391327,0.8110893964767456,0.0,0.0,0.0,2026-03-03 10:00:00,2026-06-16 23:00:00,2534,1.0,1.0,128.58168903522446,37.2075016519682,0.28936858685823724,57.75,0.5301956025859509,-0.10701691041671113,3.5866561329416546,11.0,19.0,0.10378847671665352,11.0,0.11995696611081226,0.9797938805879502,0.5849263508143228,0.6370909759067767,0.30316608191335104,2.956622625654561
bac_ninh,Bắc Ninh,transformer,0.280117392539978,0.4368844981927853,0.8267571926116943,0.1469615250825882,38,0.010728038956753137,0.293341726064682,0.4562125249391327,0.8110893964767456,-0.01322433352470398,-0.019328026746347426,0.01566779613494873,2026-03-03 10:00:00,2026-06-16 23:00:00,2534,1.0,1.0,128.58168903522446,37.2075016519682,0.28936858685823724,57.75,0.5301956025859509,-0.10701691041671113,3.5866561329416546,11.0,19.0,0.10378847671665352,11.0,0.11995696611081226,0.9797938805879502,0.5849263508143228,0.6370909759067767,0.30316608191335104,2.956622625654561
ca_mau,Cà Mau,lstm,0.1454792469739914,0.21673094975705667,0.8314271569252014,0.18834128975868225,17,0.07023607466139437,0.12391883879899979,0.18991497611002978,0.8705613017082214,0.021560408174991608,0.026815973647026897,-0.03913414478302002,2026-03-03 10:00:00,2026-06-16 23:00:00,2534,1.0,1.0,55.408839779005525,8.696316158078632,0.1569481727602186,11.0,0.2942733299097257,0.2696793492240639,0.5621792341097512,1.0,2.0,0.003551696921862668,10.0,0.14719848053181386,0.9905510960064573,0.689136889284397,0.4112212054051517,-0.02609367959528858,2.9681721014120055
ca_mau,Cà Mau,mamba,0.12391883879899979,0.18991497611002978,0.8705613017082214,0.1608874797821045,16,0.028519116608687424,0.12391883879899979,0.18991497611002978,0.8705613017082214,0.0,0.0,0.0,2026-03-03 10:00:00,2026-06-16 23:00:00,2534,1.0,1.0,55.408839779005525,8.696316158078632,0.1569481727602186,11.0,0.2942733299097257,0.2696793492240639,0.5621792341097512,1.0,2.0,0.003551696921862668,10.0,0.14719848053181386,0.9905510960064573,0.689136889284397,0.4112212054051517,-0.02609367959528858,2.9681721014120055
ca_mau,Cà Mau,transformer,0.15695078670978546,0.22765678012972068,0.8140025734901428,0.18034929037094116,55,0.0285214153683429,0.12391883879899979,0.18991497611002978,0.8705613017082214,0.033031947910785675,0.037741804019690905,-0.05655872821807861,2026-03-03 10:00:00,2026-06-16 23:00:00,2534,1.0,1.0,55.408839779005525,8.696316158078632,0.1569481727602186,11.0,0.2942733299097257,0.2696793492240639,0.5621792341097512,1.0,2.0,0.003551696921862668,10.0,0.14719848053181386,0.9905510960064573,0.689136889284397,0.4112212054051517,-0.02609367959528858,2.9681721014120055
can_tho,TP. Cần Thơ,lstm,0.1724560409784317,0.2499828258218193,0.8712621927261353,0.1793651580810547,10,0.040300240136038966,0.1769597977399826,0.2720541566541724,0.8475257158279419,-0.004503756761550903,-0.022071330832353075,0.02373647689819336,2026-03-03 10:00:00,2026-06-16 23:00:00,2534,1.0,1.0,109.86740331491713,24.439839262878678,0.22244850178925077,31.0,0.3370670742339318,-0.380050903435984,1.2562179234109752,3.0,4.0,0.012628255722178374,10.0,0.1401315789473684,0.9943068337720798,0.7896787243313099,0.5641339579073835,0.14642124622303923,3.2967694309235123
